Patient,Approach,Prediction Horizon,mean,std,count,relative_performance
1,nollm,6,16.677475731548963,11.26742129089698,65,-10.112362102837237
1,nollm,9,25.175436181491822,16.917152954053645,65,-15.478817389455562
1,nollm,12,32.754465804923406,22.73000462055109,64,-17.406117367440515
1,nollm,18,42.82973558627268,30.914131198103544,64,-23.595248839866205
1,nollm,24,49.10407048953118,34.154578308773445,63,-29.9580790632691
1,pixtral-large-latest,6,16.03856992684573,10.80292493985513,65,-12.41034612920403
1,pixtral-large-latest,9,23.97399297920958,16.284003287324328,65,-17.270293695337276
1,pixtral-large-latest,12,29.783578223557626,20.503493426785887,64,-21.481713446960722
1,pixtral-large-latest,18,37.720351480493775,25.21747391710952,64,-29.57842871852864
1,pixtral-large-latest,24,44.9394641284413,29.760594335542894,63,-32.38752176677575
2,nollm,6,18.746675298393804,13.864622879408522,35,1.0401326988590074
2,nollm,9,30.42781720427608,21.25478998797609,35,2.154936892556649
2,nollm,12,41.16887106832891,28.14371395559113,35,3.8117038874566176
2,nollm,18,56.15100043902272,33.28539673164078,34,0.16879995194607306
2,nollm,24,70.69275970672422,42.9874910006301,34,0.8359721875465933
2,pixtral-large-latest,6,18.377532759992896,14.198180949162486,35,0.3631708306280323
2,pixtral-large-latest,9,29.847801431350003,21.94019445686613,35,2.999106089539281
2,pixtral-large-latest,12,39.256056436723114,29.08421254571592,35,3.490529751153816
2,pixtral-large-latest,18,57.91852648604386,38.39714619587148,34,8.130319081568965
2,pixtral-large-latest,24,74.8093705483426,49.357629703445795,34,12.552453304397169
4,nollm,6,34.933696537468535,19.283329973540653,17,88.28433722911464
4,nollm,9,60.08328621112195,26.174605313399407,17,101.7168786702197
4,nollm,12,80.88095012999413,34.37573768357989,17,103.94995119238072
4,nollm,18,121.27702232537052,44.133228350524995,16,116.34830533910198
4,nollm,24,159.54001439881802,62.15729769835444,16,127.56746973042252
4,pixtral-large-latest,6,34.13961789123974,20.358189176738545,17,86.442889111312
4,pixtral-large-latest,9,57.08449308304949,25.48320971055059,17,96.98776717782029
4,pixtral-large-latest,12,75.86931409047655,33.66139634771866,17,100.01386333179826
4,pixtral-large-latest,18,111.76598575705054,42.7498309418615,16,108.6602065970732
4,pixtral-large-latest,24,145.06871846309355,55.140613527523115,16,118.2592907955943
6,nollm,6,11.408087842524214,6.928496920323307,56,-38.513112799918886
6,nollm,9,17.74805151341608,10.152473948180731,56,-40.414684689768926
6,nollm,12,23.217695454515415,12.653750774786317,56,-41.454102021089575
6,nollm,18,32.95782706089497,18.328452553364126,55,-41.20592758986145
6,nollm,24,42.78187012339091,23.92869157973531,55,-38.97604954467299
6,pixtral-large-latest,6,11.33837330358986,6.670345647887774,56,-38.07900594322971
6,pixtral-large-latest,9,17.47918453849252,9.33282516645649,56,-39.682646751064325
6,pixtral-large-latest,12,22.38885885948054,13.74939252383755,56,-40.976372203196576
6,pixtral-large-latest,18,32.52837578974309,21.607872023990737,55,-39.27152732040519
6,pixtral-large-latest,24,39.70400796083509,26.880788929885178,55,-40.264388414797175
7,nollm,6,11.956619468731926,6.730180940870515,28,-35.55665745947263
7,nollm,9,18.463662911294577,10.068365424771676,27,-38.012171334995685
7,nollm,12,24.279564912874367,14.85507344928357,27,-38.77648480891645
7,nollm,18,33.63526293378314,20.554942304781882,27,-39.997437306499585
7,nollm,24,39.784974955628655,24.46150307890177,26,-43.25081317024302
7,pixtral-large-latest,6,12.904023832544159,8.392612408111766,28,-29.528693257047117
7,pixtral-large-latest,9,19.327377312704357,12.578289339533082,27,-33.304883750235
7,pixtral-large-latest,12,24.525002972627952,14.461113273671085,27,-35.344867004736855
7,pixtral-large-latest,18,31.431680067647875,16.673380941425098,27,-41.31899063758958
7,pixtral-large-latest,24,34.60668246070001,22.278734540286187,26,-47.93343423253368
8,nollm,6,17.59959879031026,9.284394049519092,33,-5.142337565744941
8,nollm,9,26.81743880651469,14.230937821556752,33,-9.966142148556228
8,nollm,12,35.64197649037577,17.881680202431664,33,-10.124950882390843
8,nollm,18,49.48741546111067,22.398076452208414,32,-11.718491554820924
8,nollm,24,58.736434121658306,29.772179683312316,32,-16.21850013978398
8,pixtral-large-latest,6,17.06807687427856,9.439850421555109,33,-6.78801461245916
8,pixtral-large-latest,9,26.15934759680256,13.696316445509979,33,-9.729049070722949
8,pixtral-large-latest,12,35.76935575998038,18.48206867677999,33,-5.701440428057931
8,pixtral-large-latest,18,50.01687404354103,27.10015115394081,32,-6.621579002118805
8,pixtral-large-latest,24,59.66912612019512,35.49727600602864,32,-10.226399685884836
