iter	Passed	Remaining
0	1	1354
1	2	1011
2	2	939
3	3	855
4	4	841
5	4	820
6	5	788
7	6	786
8	7	775
9	7	756
10	8	737
11	8	720
12	9	716
13	10	721
14	11	729
15	11	725
16	12	727
17	13	729
18	13	721
19	14	719
20	15	719
21	16	721
22	17	722
23	17	721
24	18	723
25	19	727
26	20	733
27	21	732
28	21	724
29	22	717
30	22	709
31	23	705
32	24	704
33	24	699
34	25	695
35	25	691
36	26	693
37	27	689
38	27	685
39	28	684
40	29	683
41	29	678
42	30	674
43	30	672
44	31	674
45	32	670
46	32	667
47	33	669
48	34	670
49	35	670
50	35	667
51	36	665
52	37	663
53	37	659
54	38	656
55	38	654
56	39	650
57	39	647
58	40	647
59	41	648
60	42	647
61	42	644
62	43	641
63	43	639
64	44	636
65	44	633
66	45	630
67	45	627
68	46	625
69	46	623
70	47	621
71	48	621
72	48	618
73	49	616
74	49	616
75	50	614
76	51	612
77	51	609
78	52	607
79	52	607
80	53	606
81	54	605
82	54	605
83	55	605
84	56	606
85	57	605
86	57	604
87	58	603
88	59	604
89	59	603
90	60	602
91	60	599
92	61	598
93	61	597
94	62	595
95	63	594
96	63	593
97	64	593
98	64	591
99	65	589
100	66	590
101	66	589
102	67	588
103	68	587
104	68	586
105	69	586
106	70	591
107	71	589
108	71	587
109	72	587
110	73	586
111	73	585
112	74	585
113	75	585
114	75	583
115	76	582
116	76	580
117	77	579
118	78	577
119	78	575
120	79	575
121	80	580
122	81	579
123	81	578
124	82	578
125	83	578
126	83	576
127	84	576
128	85	575
129	85	575
130	86	574
131	87	575
132	88	575
133	89	576
134	89	575
135	90	575
136	91	574
137	91	573
138	92	573
139	93	573
140	93	572
141	94	571
142	95	569
143	95	568
144	96	567
145	96	565
146	97	565
147	98	565
148	99	565
149	99	565
150	100	564
151	101	563
152	101	563
153	102	562
154	103	561
155	103	560
156	104	559
157	104	558
158	105	557
159	105	556
160	106	554
161	107	553
162	107	552
163	108	552
164	108	550
165	109	550
166	110	549
167	110	548
168	111	547
169	112	546
170	112	545
171	113	545
172	114	545
173	114	545
174	115	545
175	116	545
176	117	544
177	118	544
178	118	543
179	119	543
180	119	542
181	120	541
182	121	540
183	121	539
184	122	538
185	122	537
186	123	537
187	124	536
188	124	536
189	125	534
190	126	533
191	126	532
192	127	532
193	128	531
194	128	531
195	129	530
196	130	530
197	130	530
198	131	530
199	132	529
200	132	528
201	133	527
202	133	525
203	134	524
204	135	523
205	135	522
206	136	521
207	136	520
208	137	519
209	138	519
210	138	518
211	139	517
212	140	517
213	140	516
214	141	516
